category,videoId,title,keywords,thumbnail,description
자취방구하기,uPueVHDyRW4,[옥도리의자취생활]ep1.방을 구해요!/학교 앞 방 구하는 vlog/좋은집은 너무 비싸다🥲,,https://i.ytimg.com/vi/uPueVHDyRW4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8XxIk37JOICjoFdBM9RhwuXyLcw,"#자취브이로그 #원룸구하기 #방구하기

안녕하세요 여러분 옥도리입니다!
제가 이번에 자취를 하게 되었는데요!
방구하는것부터 쉽지 않네요.. 또르륵
앞으로 올라올 저의 자취컨텐츠 많이 사랑해주세요!
그럼 오늘 영상도 봐주셔서 감사합니다!
그럼 안녕~!☺️

instagram: o_k.doll
Mail: okdoll0121@naver.com

00:00 - 자취합니다!
01:07 - 집보기전 차안토크
02:43 - 첫번째매물
03:31 - 두번째매물
03:55 - 어떤집을 골랐을까?!"
자취방구하기,9PJLpucSWgw,new home 🏡 서울에서 구하는 4번째 자취방,"['집구하기', '서울전세집', '중소기업청년대출', '중기청', '자취방구하기', '자취방', '집꾸미기', '브이로그', '이사', '이사브이로그']",https://i.ytimg.com/vi/9PJLpucSWgw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEjckbcqxE5BkQnEuBY3DoduIHCg,"**이번 편은 집 보러 다닐때 핸드폰으로만 촬영해서 화질이 많이 깨지고 움직임이 많아 정신 사나운점 양해 부탁드립니다. 

🔶 영상내 기타 정보 🔶

촬영. nikon d5300 렌즈. 1.8f 35mm  / iPhone 6s
영상 편집 프로그램. adobe premiere pro cc2020
*필터 사용 안하고 영상마다 어울리게 보정 합니다*

*밑에 음원들은 모두 라이센스를 구매한 음원입니다.

ShipsPassingintheNight - GiantsandPilgrims
TinyBrillianceInstrumentalVersion - AmickCutler
TinyBrillianceInstrumentalVersion - AmickCutler
Wthite Light (a Bottle of Wine) - Saint Anyway

(https://artlist.io/ 에서 전곡 들으실 수 있으세요)


https://www.instagram.com/yejinmoon_"
자취방구하기,sn-f6jQ98oM,사회초년생 집 잘구하는 팁,"['직장인', '회사', '직장', '집구하는팁', '직방', '다방', '전세', '월세', '월세꿀팁', '전세꿀팁', '집구하기', '집잘구하는법', '자취', '독립', '직장인꿀팁', '부동산사기', '사회초년생']",https://i.ytimg.com/vi/sn-f6jQ98oM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8DWqTKP6uRr2GK4fXosohzospyw,"집은 어디로? 무슨 동네? 전세? 월세?
근저당? 전입신고? 확정일자?
🤯사회초년생 분들 집 구할 때 너무 머리아프죠?

걱정마세요 저희가 다 알려드립니다😉
직접 계약해본 언냐들의 현실적인 팁 주워가세여 =3

🔎집 볼 때 체크리스트도 꼭 확인하고📝
괜찮은 집으로 구해보자구영🏠

#집잘구하는팁 #집구할때체크리스트 #부동산사기 안당하는 법 

☞아름다운 유튜브(Youtube) 구독 http://bit.ly/beautiandful

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ­- - - - - - - - - 
Copyright ⓒ 직장내일 All Rights Reserved.
해당 영상의 저작권은 직장내일에 있습니다.
영상 공유는 가능하나, 허가 없는 변경/배포는 불가합니다."
자취방구하기,3ZoFF2nRZ_o,🇨🇳 중국 브이로그 #27 | 중국에서 집구하기 2탄 | 외국인이 호구로 보이냐? 부동산 중개인때문에 킹받네 | 상하이 월세 | 월세 자취방 원룸 구하기 | 중국 물가,"['중국', '상해', '상하이', '월세', '집구하기', '가격', '전동차', '차', '부동산', '중개인', '곰팡이', '쇼파', '뻉끼', '부적', '냉장고', '화장실', '주방', '계약서', '집주인']",https://i.ytimg.com/vi/3ZoFF2nRZ_o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2CWmWDJaQSoDeDd2zih7tO0TkFw,"""밍기예보 real life in Shanghai""

여러분~~~ 잘 지내고 계신가요? 제가 이번 영상은 업로드가 좀 늦었어요... 갑자기 사고가 좀 나가지고 안정이 좀 필요했어용.......ㅠㅠ
이번 영상은 저번 영상에 연이어 중국 상해에서 월세 자취방 원룸 구하기 2탄이에요!
재미있게 봐주시고, 다음 영상부터는 또 다른 주제로 찾아뵐게요! ^_^

부족한 영상이지만 항상 찾아와주시는 분들께 너무너무너무 감사해용~~~♥︎


#중국브이로그 #상해브이로그 #자취방 #집구하기 #월세 #유학생vlog
--------------------------------------------------------
▶ Music Credit
Merry Bay by Ghostrifter Official https://soundcloud.com/ghostrifter-of...
Creative Commons — Attribution-ShareAlike 3.0 Unported — CC BY-SA 3.0
Free Download / Stream: https://bit.ly/merry-bay
Music promoted by Audio Library https://youtu.be/6ZZpkyyaSaU

Track: DIZARO - Gravities And Motion [No Copyright Music]
Watch: https://youtu.be/JpGTFBahh-E"
자취방구하기,JnZFDH82_2I,"집 구할 때, 체크해야 하는 리스트 / 자취방 구하기 EP.06","['원룸 체크리스트', '발품', '발품 팔기', '방 보는 방법', '원룸 옵션 확인하기', '자취 체크리스트', '자취방 구하기', '원룸 구하는 방법', '원룸 구하기 팁', '원룸 구할때 확인할 것', '원룸 구할때 유의사항', '원룸 구할때 주의사항', '방볼때 체크리스트', '집구할때 체크리스트', '원룸 구할때 확인', '집 구할때 확인', '원룸 구할때', '원룸 구하기', '집구할때 체크', '집 구할때 체크', '집 살때 체크', '집살때 체크', '방 구하기', '방 구할때 체크', '원룸 옵션', '집 구할때 체크리스트']",https://i.ytimg.com/vi/JnZFDH82_2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTuLgwf6QY1FOJ_CpDRnAgnpW-iA,
자취방구하기,9PuhhO3G6mY,자취방 구하기 원룸 구하는 법 꿀팁 총 정리! 28가지!,"['자취', '자취꿀팁', '자취생', '자취정보', '자취방', '직방', '다방', '자취썰', '자취요리', '자취음식', '원룸구하기 팁', '원룸 구하기']",https://i.ytimg.com/vi/9PuhhO3G6mY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB338E8X6i9n1BYId2LFDPE3UzcPg,"자취방 구하기 원룸 구하기 28가지 방법에 대해 알려드립니다. 초보 자취생이라면 꼭 보세요! 자취방 구하기 TIP 1. 허위매물과 공인중개사 2. 가성비 어플 VS 발품 실사 3. 부동산당 3개만 매물을 보자 4. 사진이 없는 곳은 PASS! 5. 주변 상권 파악 너무 유흥가는 NO! 6. 공과금 확인(지로 or 문의) 7. 가정 전기 VS 상가 전기 8. 자취방은 풀옵션으로 9. 분리수거장 확인 10.햇빛 조망 및 건조 11.베란다, 옥상 체크 12. 벽 재질 확인, 두께 확인(방음) 13. 환기(창문, 방충망) 확인 14. 집 주인 잘 만나기 15. 보일러 체크(온수포함) 16.겨울철 웃풍, 한기 체크 17. 벽지 상태 체크(누수, 곰팡이) 18. 보안(CCTV체크, 잠금장치) 19. 자취방 층 높이(고층, 지층) 20.옥탑방 VS 반지하 21. 옵션 상태 체크 22. 인터넷 체크 23.조명체크 24.주차시설 체크 25.중개수수료 26.보증금 월세 조절 27.계약기간 28.전입신고까지 자세한 내용은 영상을 통해 확인하세요!
--------------------------------------------------------------------------------------
안녕하세요. 준이의 버징 준버TV입니다. 누가 대한민국을 움직이는가? 준버TV는 실전 광고, 마케터가 알려주는 비즈니스 노하우! 자본주의 흐름! 사회이슈 및 정치, 인간관계 심리학, 생활 노하우 등을 공유하고자 합니다. 많은 관심과 구독 부탁드립니다. 現 비즈니스 마케터 “생각대로 살지 않으면, 사는 대로 생각하게 된다” 폴 발레리
아래의 구독 링크를 클릭해 구독해주세요.
영상을 만드는데 큰 힘이 됩니다.
구독링크: https://bit.ly/2ZpSKVO"
자취방구하기,3LRJO8vf_FU,임대차계약서 쓰는법 핵심정리 / 자취방 구하기 EP.09,"['임대차 계약서', '임대차 계약서 작성법', '임대차 계약서 양식', '부동산 계약서', '부동산 계약서 작성법', '원룸 계약시 주의사항', '원룸 계약서', '월세 계약서 쓰는 법', '원룸 계약', '자취 계약', '계약서 쓰는 법', '계약서 작성']",https://i.ytimg.com/vi/3LRJO8vf_FU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeKJBu0OxAWGoUdKowrbtG91ppQA,"[내용 안내]

0:00 서론
0:34 임대차계약서 한 눈에 보기
1:28 부동산의 표시란?
2:31 주요 계약 내용이란?
4:15 계약 조항이란?
6:20 특약 사항이란?
8:05 서명하는 칸?
9:00 정리"
자취방구하기,WYwm-0DlXIc,[자취의세계]서울 이런 옥탑 봤니?(feat.관악구),,https://i.ytimg.com/vi/WYwm-0DlXIc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcQ8KzHrR9uQYHrOpdk9iNH5U2JQ,"안녕하세요. 자취의세계입니다~
이번 영상은 신대방역 근처 신축 옥탑입니다!

#서울원룸 #분리형원룸 #전세자금대출 #자취 #1.5룸 #서울옥탑 #서울월세 #원룸전세 #서울전세 #전세 #월세 #테라스"
자취방구하기,kc5FTSiMo_8,자취방 구하는 꿀팁!,"['방구하기', '자취인', '자취생', '원룸', '투룸', '부동산', '부동산직거래', '피터팬의좋은방구하기', '직방', '다방']",https://i.ytimg.com/vi/kc5FTSiMo_8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2ZIGkGHwzILZYsca_7zdtHsNnkQ,"자취인들아 중개수수료 아껴서 
그 돈으로 라면 4box 쟁여 놓자!!"
자취방구하기,A5mE9WPt2tU,월세 계약 부동산 사기 당했습니다.(실제상황) 자취방 원룸 구하기 전 필수시청,"['월세계약', '월세부동산수수료', '월세계약주의사항', '자취방구하기', '서울원룸']",https://i.ytimg.com/vi/A5mE9WPt2tU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOzDycaSuaKFwHjx2ZnoAcO4ZsNw,"#월세계약 #부동산사기 #원룸부동산수수료 #오피스텔부동산중개수수료

1시간 전 알게 된 실제상황입니다.
급하게 촬영 편집 후 바로 올립니다.
독산역 근처 '마리오 부동산'과 계약을 했고,
여러분들은 저처럼 부동산 중개 수수료를 더 많이 뜯기는 일이 없도록
주의하셔서 피해주세요.

-제가 영상에 과장을 위해 '부동산 사기'라고 표현했으나 합법적 '꼼수'입니다.

-월세 계약 시 부동산 중개인께 합법적 건축물, 주거용 시설을 소개 해 달라고하세요.
-오피스텔 계약 시에도 중개 수수료 상한가가 높습니다. 
영상에서 제가 말씀드리는 월세방은 '원룸'임을 알려드립니다.
-저는 전문가가 아닙니다. 하지만 합법적인 사기라는 것을 주의드리고,
 월세나 전세 등 부동산을 계약 하시기 전에 전문가에게 자문을 구하거나
 주의점 등을 미리 알아보고 가시는걸 추천드립니다.


이메일 : 01041917425a@gmail.com"
